Type,Title,Author,Genres,Status,Image
Book,How To Be a Founder,"Alice Bentinck, Matt Clifford","Business, Management",Reading,https://m.media-amazon.com/images/I/711-f1sJIYL._SL1500_.jpg
Book,Find Your Why,Simon Sinek,"Life Advice, Consulting",Reading,https://m.media-amazon.com/images/I/814DDbf5dGL._SL1500_.jpg
Book,Getting Things Done: The Art of Stress-Free Productivity,David Allen,Productivity,Reading,https://m.media-amazon.com/images/I/61Loe8brBXL._SL1200_.jpg
Book,Show Your Work!,Austin Kleon,Creativity,Not started,https://m.media-amazon.com/images/I/615i7JSSShL._SL1400_.jpg
Book,Deep Work,Cal Newport,Self-Improvement,Not started,https://m.media-amazon.com/images/I/71nr94F1kOL._SL1500_.jpg
Book,Disciplined Entrepreneurship: 24 Steps to a Successful Startup,Bill Aulet,Business,Not started,https://m.media-amazon.com/images/I/41uBjDJsAAL._SX342_SY445_.jpg
Book,The Great CEO Within: The Tactical Guide to Company Building,Matt Mochary,Business,Not started,https://m.media-amazon.com/images/I/61K+LNADrLL._SL1360_.jpg
Book,Value Proposition Design,"Alexander Osterwalder, Yves Pigneur, Gregory Bernarda, Alan Smith","Business, Consulting",Not started,https://m.media-amazon.com/images/I/81MOhLzbF1L._SL1500_.jpg
Book,Business Model Generation,"Alexander Osterwalder, Yves Pigneur","Business, Consulting",Not started,https://m.media-amazon.com/images/I/71erqUGX3cL._SL1425_.jpg
Book,Testing Business Ideas: A field Guide for Rapid Experimentation,"Alexander Osterwalder, David J. Bland","Business, Consulting",Not started,https://m.media-amazon.com/images/I/81YG0Bpw3mL._SL1500_.jpg
Book,The Invincible Company,"Alexander Osterwalder, Yves Pigneur, Alan Smith, Frederic Etiemble","Business, Consulting",Not started,https://m.media-amazon.com/images/I/818bmb2pRxL._SL1500_.jpg
Book,High Impact Tools for Teams,"Stefano Mastrogiacomo, Alexander Osterwalder","Business, Management",Not started,https://m.media-amazon.com/images/I/81tCM1vj9nL._SL1500_.jpg
Book,Digital Minimalism,Cal Newport,"Self-Improvement, Productivity",Not started,https://m.media-amazon.com/images/I/61mEUrqSOQL._SL1500_.jpg
Book,Read Write Own: Building the Next Era of the Internet,Chris Nixon,"Business, Software",Not started,https://m.media-amazon.com/images/I/716FETbKOZL._SL1500_.jpg
Book,The Millionaire Next Door,"Thomas J Stanley, William D Danko","Investing, Life Advice",Not started,https://m.media-amazon.com/images/I/81L9R4t40OL._SL1500_.jpg
Book,The Art of Selling to the Affluent,Matt Oechsli,Sales,Not started,https://m.media-amazon.com/images/I/61ZxQCFoa5L._SL1360_.jpg
Book,"I, Human: AI, Automation, and the Quest to Reclaim What Makes Us Unique", Tomas Chamorro-Premuzic,Software,Not started,https://m.media-amazon.com/images/I/81O3zJAUSNS._SY466_.jpg
Book,Work Different: 10 Truths for Winning in the People Age,"Kate Bravery, Ilya Bonic, Kai Anderson",Business,Not started,https://m.media-amazon.com/images/I/61IVPUGbpzL._SL1500_.jpg
Book,Value Averaging: The Safe and Easy Strategy for Higher Investment Returns," Michael E. Edleson, William J. Bernstein",Investing,Not started,https://m.media-amazon.com/images/I/714UuvFucZL._SL1360_.jpg
Book,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,Business,Not started,https://m.media-amazon.com/images/I/71hP6RPS8eL._SL1500_.jpg
Book,Secrets of Sand Hill Road: Venture Capital and How to Get It,"Scott Kupor, Eric Ries",Business,Not started,https://m.media-amazon.com/images/I/712E5y5-5nL._SL1500_.jpg
Book,The Luck Factor: The Four Essential Principles,Richard Wiseman,Life Advice,Not started,https://m.media-amazon.com/images/I/51p4ZvoCz-L.jpg
Book,You're Paid What You're Worth: And Other Myths of the Modern Economy,Jake Rosenfeld,Business,Not started,https://m.media-amazon.com/images/I/51EtqbhQGzL._SL1000_.jpg
Book,The Secrets of Consulting: A Guide to Giving and Getting Advice Successfully,Gerald M. Weinberg,Business,Not started,https://m.media-amazon.com/images/I/51F18C7N1AL.jpg
Book,How Big Things Get Done,"Bent Flyvbjerg, Dan Gardner","Business, Life Advice, Productivity",Not started,https://m.media-amazon.com/images/I/81R2kJoLgCL._SL1500_.jpg
Book,The McKinsey Way: Using the Techniques of the World's Top Strategic Consultants to Help You and Your Business,Ethan Rasiel,Consulting,Not started,https://m.media-amazon.com/images/I/717uhZ0DdrL._SL1360_.jpg
Book,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Leadership, Consulting",Not started,https://m.media-amazon.com/images/I/71WBGWgi8iL._SL1500_.jpg
Book,The Passion Test: The Effortless Path to Discovering Your Destiny,"Jane Bray Attwood, Chris Attwood",Life Advice,Not started,https://m.media-amazon.com/images/I/51TJlzyMtyL.jpg
Book,YouTube Secrets: The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,San Cannell,Business,Not started,https://m.media-amazon.com/images/I/71GjUdFS5hL._SL1500_.jpg
Book,Selling to the Affluent,Thomas J Stanley,Sales,Paused,https://m.media-amazon.com/images/I/61-4A98-BBL._SL1360_.jpg
Book,Blue Ocean Strategy," W. Chan Kim, Renée A. Mauborgne",Business,Not started,https://m.media-amazon.com/images/I/91YCWH4jFdL._SL1500_.jpg
